age_group,fatalities,leading_causes_of_death,year
All Ages,102697,All Causes,1990
All Ages,35158,Heart disease,1990
All Ages,24443,Malignant neoplasms,1990
All Ages,6737,Cerebrovascular disease,1990
All Ages,3957,Pneumonia and influenza,1990
All Ages,3873,Unintentional injuries,1990
All Ages,1807,Unintentional injuries: motor vehicle,1990
All Ages,2066,Unintentional injuries: all other,1990
All Ages,3814,Chronic obstructive pulmonary disease and other allied diseases,1990
All Ages,2247,Diabetes mellitus,1990
All Ages,1660,Congenital anomalies and perinatal conditions,1990
All Ages,1376,Cirrhosis of liver,1990
All Ages,1335,Homicide,1990
All Ages,1186,Nephritis,1990
All Ages,1148,Suicide,1990
Ages 1-4,315,All Causes,1990
Ages 1-4,115,Unintentional injuries,1990
Ages 1-4,26,Unintentional injury: motor vehicle,1990
Ages 1-4,89,Unintentional injuries: all other,1990
Ages 1-4,38,Congenital anomalies,1990
Ages 1-4,24,Malignant neoplasms,1990
Ages 1-4,23,Homicide,1990
Ages 1-4,10,Heart disease,1990
Ages 1-4,9,Pneumonia and influenza,1990
Ages 1-4,6,Meningitis,1990
Ages 1-4,5,Certain conditions originating in the perinatal period,1990
Ages 1-4,5,Infantile cerebral palsy,1990
Ages 1-4,5,Anemia,1990
Ages 5-14,350,All Causes,1990
Ages 5-14,149,Unintentional Injuries,1990
Ages 5-14,78,Unintentional injuries: motor vehicle,1990
Ages 5-14,71,Unintentional injuries: all other,1990
Ages 5-14,37,Malignant neoplasms,1990
Ages 5-14,36,Homicide,1990
Ages 5-14,22,Congenital anomalies,1990
Ages 5-14,13,Heart disease,1990
Ages 5-14,9,Infantile cerebral palsy,1990
Ages 5-14,7,Chronic obstructive pulmonary diseases and allied conditions,1990
Ages 5-14,7,Benign neoplasms,1990
Ages 15-24,1651,All Causes,1990
Ages 15-24,610,Unintentional Injuries,1990
Ages 15-24,463,Unintentional injuries: motor vehicle,1990
Ages 15-24,147,Unintentional injuries: all other,1990
Ages 15-24,474,Homicide,1990
Ages 15-24,192,Suicide,1990
Ages 15-24,89,Malignant neoplasms,1990
Ages 15-24,53,Heart disease,1990
Ages 15-24,21,Injuries undetermined origin whether accidentally or purposely inflicted,1990
Ages 15-24,20,HIV infection,1990
Ages 15-24,20,Congenital anomalies,1990
Ages 15-24,15,Chronic obstructive pulmonary diseases and allied diseases,1990
Ages 15-24,14,Pneumonia and influenza,1990
Ages 25-44,6453,All Causes,1990
Ages 25-44,1205,Unintentional injuries,1990
Ages 25-44,610,Unintentional injuries: motor vehicle,1990
Ages 25-44,595,Unintentional injuries: all other,1990
Ages 25-44,1001,Malignant neoplasms,1990
Ages 25-44,763,Heart disease,1990
Ages 25-44,621,HIV infection,1990
Ages 25-44,586,Homicide,1990
Ages 25-44,478,Suicide,1990
Ages 25-44,342,Chronic liver disease and cirrhosis,1990
Ages 25-44,169,Cerebrovascular disease,1990
Ages 25-44,118,Pneumonia and influenza,1990
Ages 25-44,108,Diabetes mellitus,1990
Ages 45-64,17860,All Causes,1990
Ages 45-64,6720,Malignant neoplasms,1990
Ages 45-64,5214,Heart disease,1990
Ages 45-64,703,Unintentional injuries,1990
Ages 45-64,318,Unintentional injuries: motor vehicle,1990
Ages 45-64,385,Unintentional injuries: all other,1990
Ages 45-64,690,Cerebrovascular disease,1990
Ages 45-64,555,Chronic liver disease and cirrhosis,1990
Ages 45-64,542,Chronic obstructive pulmonary disease and allied diseases,1990
Ages 45-64,453,Diabetes mellitus,1990
Ages 45-64,305,Pneumonia and influenza,1990
Ages 45-64,249,Suicide,1990
Ages 45-64,180,HIV infection,1990
Age 65 and Older,73978,All Causes,1990
Age 65 and Older,29078,Heart disease,1990
Age 65 and Older,16568,Malignant neoplasms,1990
Age 65 and Older,5859,Cerebrovascular disease,1990
Age 65 and Older,3468,Pneumonia and influenza,1990
Age 65 and Older,3188,Chronic obstructive pulmonary diseases and other allied conditions,1990
Age 65 and Older,1679,Diabetes mellitus,1990
Age 65 and Older,1040,Unintentional injuries,1990
Age 65 and Older,306,Unintentional injuries: motor vehicle,1990
Age 65 and Older,734,Unintentional injuries: all other,1990
Age 65 and Older,962,Nephritis,1990
Age 65 and Older,841,Septicemia,1990
Age 65 and Older,737,General arteriosclerosis,1990
All Ages,103871,All Causes,1991
All Ages,35561,Heart disease,1991
All Ages,24388,Malignant neoplasms,1991
All Ages,6881,Cerebrovascular disease,1991
All Ages,3926,Chronic obstructive pulmonary diseases and other allied conditions,1991
All Ages,3924,Pneumonia and influenza,1991
All Ages,3732,Unintentional injuries,1991
All Ages,1658,Unintentional injuries: motor vehicle,1991
All Ages,2074,Unintentional injuries: all other,1991
All Ages,2309,Diabetes mellitus,1991
All Ages,1447,Homicide,1991
All Ages,1348,Nephritis,1991
All Ages,1345,Cirrhosis of liver,1991
All Ages,1178,Suicide,1991
All Ages,1091,Septicemia,1991
Ages 1-4,383,All Causes,1991
Ages 1-4,148,Unintentional injuries,1991
Ages 1-4,33,Unintentional injuries: motor vehicle,1991
Ages 1-4,115,Unintentional injuries: all other,1991
Ages 1-4,46,Congenital anomalies,1991
Ages 1-4,26,Malignant neoplasms,1991
Ages 1-4,22,Homicide,1991
Ages 1-4,22,Heart disease,1991
Ages 1-4,18,Pneumonia and influenza,1991
Ages 1-4,7,Certain conditions originating in the perinatal period,1991
Ages 1-4,7,Infantile cerebral palsy,1991
Ages 1-4,6,Chronic obstructive pulmonary diseases and allied conditions,1991
Ages 1-4,6,Meningitis,1991
Ages 5-14,408,All Causes,1991
Ages 5-14,156,Unintentional injuries,1991
Ages 5-14,73,Unintentional injuries: motor vehicle,1991
Ages 5-14,83,Unintentional injuries: all other,1991
Ages 5-14,54,Malignant neoplasms,1991
Ages 5-14,39,Homicide,1991
Ages 5-14,23,Heart disease,1991
Ages 5-14,18,Congenital anomalies,1991
Ages 5-14,16,Infantile cerebral palsy,1991
Ages 5-14,13,Suicide,1991
Ages 5-14,8,Cerebrovascular disease,1991
Ages 5-14,7,Chronic obstructive pulmonary diseases and other allied conditions,1991
Ages 5-14,4,HIV infection,1991
Ages 15-24,1748,All Causes,1991
Ages 15-24,625,Unintentional injuries,1991
Ages 15-24,434,Unintentional injuries: motor vehicle,1991
Ages 15-24,191,Unintentional injuries: all other,1991
Ages 15-24,509,Homicide,1991
Ages 15-24,211,Suicide,1991
Ages 15-24,71,Malignant neoplasms,1991
Ages 15-24,67,Heart disease,1991
Ages 15-24,25,Congenital anomalies,1991
Ages 15-24,21,HIV infection,1991
Ages 15-24,20,Pneumonia and influenza,1991
Ages 15-24,16,Chronic obstructive pulmonary diseases and other allied conditions,1991
Ages 15-24,12,Injuries undetermined origin whether accidentally or purposely inflicted,1991
Ages 15-24,12,Cerebrovascular disease,1991
Ages 25-44,6735,All Causes,1991
Ages 25-44,1182,Unintentional injuries,1991
Ages 25-44,579,Unintentional injuries: motor vehicle,1991
Ages 25-44,603,Unintentional injuries: all other,1991
Ages 25-44,1009,Malignant neoplasms,1991
Ages 25-44,866,Heart disease,1991
Ages 25-44,798,HIV infection,1991
Ages 25-44,630,Homicide,1991
Ages 25-44,447,Suicide,1991
Ages 25-44,326,Chronic liver disease and cirrhosis,1991
Ages 25-44,164,Cerebrovascular disease,1991
Ages 25-44,133,Pneumonia and influenza,1991
Ages 25-44,114,Diabetes mellitus,1991
Ages 45-64,17462,All Causes,1991
Ages 45-64,6384,Malignant neoplasms,1991
Ages 45-64,5179,Heart disease,1991
Ages 45-64,694,Cerebrovascular disease,1991
Ages 45-64,563,Unintentional injuries,1991
Ages 45-64,260,Unintentional injuries: motor vehicle,1991
Ages 45-64,303,Unintentional injuries: all other,1991
Ages 45-64,552,Chronic obstructive pulmonary diseases and other allied conditions,1991
Ages 45-64,547,Chronic liver disease and cirrhosis,1991
Ages 45-64,470,Diabetes mellitus,1991
Ages 45-64,295,Pneumonia and Influenza,1991
Ages 45-64,267,Suicide,1991
Ages 45-64,202,HIV infection,1991
Age 65 and Older,75067,All Causes,1991
Age 65 and Older,29375,Heart disease,1991
Age 65 and Older,16842,Malignant neoplasms,1991
Age 65 and Older,5995,Cerebrovascular disease,1991
Age 65 and Older,3427,Pneumonia and influenza,1991
Age 65 and Older,3267,Chronic obstructive pulmonary disease,1991
Age 65 and Older,1713,Diabetes mellitus,1991
Age 65 and Older,1142,Nephritis,1991
Age 65 and Older,1003,Unintentional injuries,1991
Age 65 and Older,273,Unintentional injuries: motor vehicle,1991
Age 65 and Older,730,Unintentional injuries: all other,1991
Age 65 and Older,881,Septicemia,1991
Age 65 and Older,697,Alzheimer's disease,1991
All Ages,101861,All Causes,1992
All Ages,34293,Heart disease,1992
All Ages,24616,Malignant neoplasms,1992
All Ages,6886,Cerebrovascular disease,1992
All Ages,3850,Chronic obstructive pulmonary diseases and allied conditions,1992
All Ages,3596,Pneumonia and influenza,1992
All Ages,3400,Unintentional injuries,1992
All Ages,1520,Unintentional injuries: motor vehicle,1992
All Ages,1880,Unintentional injuries: all other,1992
All Ages,2366,Diabetes mellitus,1992
All Ages,1435,Homicide,1992
All Ages,1390,Nephritis,1992
All Ages,1256,Cirrhosis of liver,1992
All Ages,1212,HIV infection,1992
All Ages,1126,Suicide,1992
Ages 1-4,311,All Causes,1992
Ages 1-4,103,Unintentional injuries,1992
Ages 1-4,24,Unintentional injuries: motor vehicle,1992
Ages 1-4,79,Unintentional injuries: all other,1992
Ages 1-4,44,Congenital anomalies,1992
Ages 1-4,29,Homicide,1992
Ages 1-4,22,Malignant neoplasms,1992
Ages 1-4,17,Heart disease,1992
Ages 1-4,12,Pneumonia and influenza,1992
Ages 1-4,4,Certain conditions originating in the perinatal period,1992
Ages 1-4,4,Benign neoplasms,1992
Ages 1-4,3,Infantile cerebral palsy,1992
Ages 1-4,3,Chronic obstructive pulmonary diseases and allied conditions,1992
Ages 5-14,372,All Causes,1992
Ages 5-14,118,Unintentional injuries,1992
Ages 5-14,58,Unintentional injuries: motor vehicle,1992
Ages 5-14,60,Unintentional injuries: all other,1992
Ages 5-14,63,Malignant neoplasms,1992
Ages 5-14,44,Homicide,1992
Ages 5-14,19,Congenital anomalies,1992
Ages 5-14,15,Infantile cerebral palsy,1992
Ages 5-14,13,Suicide,1992
Ages 5-14,11,Heart disease,1992
Ages 5-14,11,Chronic obstructive pulmonary diseases and other allied conditions,1992
Ages 5-14,7,Benign neoplasms,1992
Ages 5-14,6,Pneumonia and influenza,1992
Ages 15-24,1642,All Causes,1992
Ages 15-24,539,Homicide,1992
Ages 15-24,535,Unintentional injury,1992
Ages 15-24,392,Unintentional injuries: motor vehicle,1992
Ages 15-24,143,Unintentional injuries: all other,1992
Ages 15-24,165,Suicide,1992
Ages 15-24,73,Malignant neoplasms,1992
Ages 15-24,61,Heart disease,1992
Ages 15-24,23,Congenital anomalies,1992
Ages 15-24,23,HIV infection,1992
Ages 15-24,21,Injuries undetermined origin whether accidentally or purposely inflicted,1992
Ages 15-24,15,Chronic obstructive pulmonary diseases and other allied conditions,1992
Ages 15-24,12,Muscular dystrophy,1992
Ages 25-44,6700,All Causes,1992
Ages 25-44,1133,Unintentional injuries,1992
Ages 25-44,531,Unintentional injuries: motor vehicle,1992
Ages 25-44,602,Unintentional injuries: all other,1992
Ages 25-44,1012,Malignant neoplasms,1992
Ages 25-44,898,HIV infection,1992
Ages 25-44,792,Heart disease,1992
Ages 25-44,602,Homicide,1992
Ages 25-44,458,Suicide,1992
Ages 25-44,276,Chronic liver disease and cirrhosis,1992
Ages 25-44,173,Cerebrovascular disease,1992
Ages 25-44,140,Pneumonia and influenza,1992
Ages 25-44,98,Diabetes mellitus,1992
Ages 45-64,17122,All Causes,1992
Ages 45-64,6352,Malignant neoplasms,1992
Ages 45-64,5016,Heart disease,1992
Ages 45-64,687,Cerebrovascular disease,1992
Ages 45-64,584,Unintentional injuries,1992
Ages 45-64,257,Unintentional injuries: motor vehicle,1992
Ages 45-64,327,Unintentional injuries: all other,1992
Ages 45-64,496,Chronic liver disease and cirrhosis,1992
Ages 45-64,487,Chronic obstructive pulmonary disease and other allied conditions,1992
Ages 45-64,459,Diabetes mellitus,1992
Ages 45-64,266,Pneumonia and influenza,1992
Ages 45-64,260,HIV infection,1992
Ages 45-64,256,Suicide,1992
Age 65 and Older,73803,All Causes,1992
Age 65 and Older,28375,Heart disease,1992
Age 65 and Older,17090,Malignant neoplasms,1992
Age 65 and Older,6004,Cerebrovascular disease,1992
Age 65 and Older,3272,Chronic obstructive pulmonary disease and other allied diseases,1992
Age 65 and Older,3127,Pneumonia and influenza,1992
Age 65 and Older,1800,Diabetes mellitus,1992
Age 65 and Older,1169,Nephritis,1992
Age 65 and Older,884,Unintentional injuries,1992
Age 65 and Older,253,Unintentional injuries: motor vehicle,1992
Age 65 and Older,631,Unintentional injuries: all other,1992
Age 65 and Older,857,Septicemia,1992
Age 65 and Older,587,Alzheimer's disease,1992
All Ages,106875,All Causes,1993
All Ages,35624,Heart disease,1993
All Ages,25263,Malignant neoplasms,1993
All Ages,7291,Cerebrovascular disease,1993
All Ages,4312,Chronic obstructive pulmonary diseases and other allied conditions,1993
All Ages,4021,Pneumonia and influenza,1993
All Ages,3717,Unintentional injuries,1993
All Ages,1558,Unintentional injuries: motor vehicle,1993
All Ages,2159,Unintentional injuries: all other,1993
All Ages,2474,Diabetes mellitus,1993
All Ages,1483,Nephritis,1993
All Ages,1439,HIV infection,1993
All Ages,1435,Homicide,1993
All Ages,1250,Cirrhosis of liver,1993
All Ages,1149,Suicide,1993
Ages 1-4,301,All Causes,1993
Ages 1-4,87,Unintentional injuries,1993
Ages 1-4,24,Unintentional injuries: motor vehicle,1993
Ages 1-4,63,Unintentional injuries: all other,1993
Ages 1-4,35,Malignant neoplasms,1993
Ages 1-4,34,Congenital anomalies,1993
Ages 1-4,26,Homicide,1993
Ages 1-4,11,Heart disease,1993
Ages 1-4,11,Pneumonia and influenza,1993
Ages 1-4,10,Infantile cerebral palsy,1993
Ages 1-4,6,Certain conditions originating in the perinatal period,1993
Ages 1-4,5,Chronic obstructive pulmonary diseases and allied conditions,1993
Ages 1-4,5,Septicemia,1993
Ages 5-14,400,All Causes,1993
Ages 5-14,137,Unintentional injuries,1993
Ages 5-14,67,Unintentional injuries: motor vehicle,1993
Ages 5-14,70,Unintentional injuries: all other,1993
Ages 5-14,52,Malignant neoplasms,1993
Ages 5-14,47,Homicide,1993
Ages 5-14,19,Congenital anomalies,1993
Ages 5-14,16,Heart disease,1993
Ages 5-14,14,Chronic obstructive pulmonary diseases and other allied conditions,1993
Ages 5-14,12,Suicide,1993
Ages 5-14,11,Infantile cerebral palsy,1993
Ages 5-14,7,Pneumonia and influenza,1993
Ages 5-14,6,Anemias,1993
Ages 5-14,6,Cerebrovascular,1993
Ages 15-24,1741,All Causes,1993
Ages 15-24,578,Unintentional injuries,1993
Ages 15-24,403,Unintentional injuries: motor vehicle,1993
Ages 15-24,175,Unintentional injuries: all other,1993
Ages 15-24,560,Homicide,1993
Ages 15-24,167,Suicide,1993
Ages 15-24,79,Malignant neoplasms,1993
Ages 15-24,71,Heart disease,1993
Ages 15-24,29,HIV infection,1993
Ages 15-24,28,Injuries undetermined origin whether accidentally or purposely inflicted,1993
Ages 15-24,26,Congenital anomalies,1993
Ages 15-24,19,Chronic obstructive pulmonary diseases and other allied conditions,1993
Ages 15-24,16,Pneumonia and influenza,1993
Ages 25-44,7054,All Causes,1993
Ages 25-44,1250,Unintentional injuries,1993
Ages 25-44,535,Unintentional injuries: motor vehicle,1993
Ages 25-44,715,Unintentional injuries: all other,1993
Ages 25-44,1054,Malignant neoplasms,1993
Ages 25-44,1047,HIV infection,1993
Ages 25-44,851,Heart disease,1993
Ages 25-44,576,Homicide,1993
Ages 25-44,464,Suicide,1993
Ages 25-44,268,Chronic liver disease and cirrhosis,1993
Ages 25-44,169,Cerebrovascular disease,1993
Ages 25-44,136,Pneumonia and influenza,1993
Ages 25-44,110,Diabetes mellitus,1993
Ages 45-64,17425,All Causes,1993
Ages 45-64,6405,Malignant neoplasms,1993
Ages 45-64,5075,Heart disease,1993
Ages 45-64,689,Cerebrovascular disease,1993
Ages 45-64,609,Unintentional injuries,1993
Ages 45-64,258,Unintentional injuries: motor vehicle,1993
Ages 45-64,351,Unintentional injuries: all other,1993
Ages 45-64,592,Chronic obstructive pulmonary diseases and other allied conditions,1993
Ages 45-64,497,Diabetes mellitus,1993
Ages 45-64,450,Chronic liver disease and cirrhosis,1993
Ages 45-64,326,HIV infection,1993
Ages 45-64,277,Suicide,1993
Ages 45-64,252,Pneumonia and influenza,1993
Age 65 and Older,78116,All Causes,1993
Age 65 and Older,29571,Heart disease,1993
Age 65 and Older,17629,Malignant neoplasms,1993
Age 65 and Older,6408,Cerebrovascular disease,1993
Age 65 and Older,3607,Chronic obstructive pulmonary diseases and other allied conditions,1993
Age 65 and Older,3576,Pneumonia and influenza,1993
Age 65 and Older,1862,Diabetes mellitus,1993
Age 65 and Older,1247,Nephritis,1993
Age 65 and Older,999,Unintentional injuries,1993
Age 65 and Older,737,Unintentional injuries: motor vehicle,1993
Age 65 and Older,262,Unintentional injuries: all other,1993
Age 65 and Older,922,Septicemia,1993
Age 65 and Older,967,Alzheimer's disease,1993
All Ages,106911,All Causes,1994
All Ages,35140,Heart disease,1994
All Ages,25091,Malignant neoplasms,1994
All Ages,7437,Cerebrovascular disease,1994
All Ages,4320,Chronic obstructive pulmonary diseases and other allied conditions,1994
All Ages,4022,Unintentional injuries,1994
All Ages,1742,Unintentional injuries: motor vehicle,1994
All Ages,2280,Unintentional injuries: all other,1994
All Ages,3917,Pneumonia and influenza,1994
All Ages,2544,Diabetes mellitus,1994
All Ages,1482,HIV infection,1994
All Ages,1478,Homicide,1994
All Ages,1445,Nephritis,1994
All Ages,1223,Septicemia,1994
All Ages,1217,Chronic liver disease & cirrhosis,1994
Ages 1-4,355,All Causes,1994
Ages 1-4,123,Unintentional injuries,1994
Ages 1-4,29,Unintentional injuries: motor vehicle,1994
Ages 1-4,94,Unintentional injuries: all other,1994
Ages 1-4,34,Congenital anomalies,1994
Ages 1-4,32,Malignant neoplasms,1994
Ages 1-4,22,Homicide,1994
Ages 1-4,18,Heart disease,1994
Ages 1-4,15,Pneumonia and influenza,1994
Ages 1-4,10,Certain conditions originating in the perinatal period,1994
Ages 1-4,9,Septicemia,1994
Ages 1-4,8,Infantile cerebral palsy,1994
Ages 1-4,7,HIV infection,1994
Ages 5-14,413,All Causes,1994
Ages 5-14,172,Unintentional injuries,1994
Ages 5-14,95,Unintentional injuries: motor vehicle,1994
Ages 5-14,77,Unintentional injuries: all other,1994
Ages 5-14,52,Homicide,1994
Ages 5-14,35,Malignant neoplasms,1994
Ages 5-14,20,Heart disease,1994
Ages 5-14,18,Congenital anomalies,1994
Ages 5-14,13,Infantile cerebral palsy,1994
Ages 5-14,11,Chronic obstructive pulmonary diseases and other allied conditions,1994
Ages 5-14,7,HIV infection,1994
Ages 5-14,6,Suicide,1994
Ages 5-14,5,Pneumonia and influenza,1994
Ages 15-24,1796,All Causes,1994
Ages 15-24,626,Unintentional injuries,1994
Ages 15-24,480,Unintentional injuries: motor vehicle,1994
Ages 15-24,146,Unintentional injuries: all other,1994
Ages 15-24,609,Homicide,1994
Ages 15-24,171,Suicide,1994
Ages 15-24,64,Malignant neoplasms,1994
Ages 15-24,53,Heart disease,1994
Ages 15-24,24,Chronic obstructive pulmonary diseases and other allied conditions,1994
Ages 15-24,21,HIV infection,1994
Ages 15-24,20,Undetermined origin,1994
Ages 15-24,18,Pneumonia and influenza,1994
Ages 15-24,17,Congenital anomalies,1994
Ages 25-44,7102,All Causes,1994
Ages 25-44,1292,Unintentional injuries,1994
Ages 25-44,561,Unintentional injuries: motor vehicle,1994
Ages 25-44,731,Unintentional injuries: all other,1994
Ages 25-44,1097,Malignant neoplasms,1994
Ages 25-44,987,Heart disease,1994
Ages 25-44,823,HIV infection,1994
Ages 25-44,599,Homicide,1994
Ages 25-44,434,Suicide,1994
Ages 25-44,267,Chronic liver disease and cirrhosis,1994
Ages 25-44,179,Cerebrovascular disease,1994
Ages 25-44,117,Pneumonia and influenza,1994
Ages 25-44,114,Diabetes mellitus,1994
Ages 45-64,17524,All Causes,1994
Ages 45-64,6314,Malignant neoplasms,1994
Ages 45-64,5059,Heart disease,1994
Ages 45-64,765,Cerebrovascular disease,1994
Ages 45-64,647,Unintentional injuries,1994
Ages 45-64,278,Unintentional injuries: motor vehicle,1994
Ages 45-64,369,Unintentional injuries: all other,1994
Ages 45-64,548,Chronic obstructive pulmonary diseases and other allied conditions,1994
Ages 45-64,545,Diabetes mellitus,1994
Ages 45-64,469,Chronic liver disease and cirrhosis,1994
Ages 45-64,317,HIV infection,1994
Ages 45-64,305,Pneumonia and influenza,1994
Ages 45-64,234,Suicide,1994
Age 65 and Older,78010,All Causes,1994
Age 65 and Older,29137,Heart disease,1994
Age 65 and Older,17657,Malignant neoplasms,1994
Age 65 and Older,6479,Cerebrovascular disease,1994
Age 65 and Older,3637,Chronic obstructive pulmonary diseases and other allied conditions,1994
Age 65 and Older,3431,Pneumonia and influenza,1994
Age 65 and Older,1870,Diabetes mellitus,1994
Age 65 and Older,1217,Nephritis,1994
Age 65 and Older,1119,Unintentional injuries,1994
Age 65 and Older,294,Unintentional injuries: motor vehicle,1994
Age 65 and Older,825,Unintentional injuries: all other,1994
Age 65 and Older,967,Septicemia,1994
Age 65 and Older,925,Alzheimer's disease,1994
All Ages,108089,All Causes,1995
All Ages,35819,Heart disease,1995
All Ages,25015,Malignant neoplasms,1995
All Ages,7511,Cerebrovascular disease,1995
All Ages,4482,Chronic obstructive pulmonary diseases and other allied conditions,1995
All Ages,4037,Unintentional injuries,1995
