Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,184.5,0,0
5.52,184.31,0,0.0
8.99,184.21,0,-0.19
13.18,184.14,0,-0.29
17.21,184.07,0,-0.36
21.56,183.99,0,-0.43
25.66,183.92,0,-0.51
30.22,183.85,0,-0.58
34.41,183.85,0,-0.65
38.34,183.92,0,-0.65
42.01,183.98,0.07,-0.65
45.39,184.05,0.13,-0.65
48.49,184.12,0.2,-0.65
53.68,184.2,0.27,-0.65
58.02,184.18,0.35,-0.65
63.24,184.06,0.35,-0.67
66.33,183.98,0.35,-0.79
69.67,183.89,0.35,-0.87
73.24,183.79,0.35,-0.96
76.98,183.69,0.35,-1.06
80.81,183.59,0.35,-1.16
84.66,183.49,0.35,-1.26
88.4,183.39,0.35,-1.36
92.03,183.29,0.35,-1.46
95.71,183.19,0.35,-1.56
99.36,183.09,0.35,-1.66
103.03,183.03,0.35,-1.76
106.7,183.13,0.35,-1.82
110.27,183.22,0.45,-1.82
113.73,183.32,0.54,-1.82
117.11,183.42,0.64,-1.82
120.41,183.51,0.74,-1.82
123.66,183.61,0.83,-1.82
126.85,183.7,0.93,-1.82
130.11,183.79,1.02,-1.82
133.27,183.88,1.11,-1.82
136.29,183.97,1.2,-1.82
141.98,184.2,1.29,-1.82
147.56,184.5,1.52,-1.82
153.6,184.84,1.82,-1.82
156.84,185.02,2.16,-1.82
160.21,185.21,2.34,-1.82
163.6,185.41,2.53,-1.82
166.9,185.61,2.73,-1.82
170.09,185.8,2.93,-1.82
173.17,185.99,3.12,-1.82
176.18,186.18,3.31,-1.82
181.98,186.55,3.5,-1.82
187.64,186.92,3.87,-1.82
193.25,187.17,4.24,-1.82
199.22,187.24,4.49,-1.82
202.35,187.27,4.56,-1.82
205.54,187.29,4.59,-1.82
208.71,187.3,4.61,-1.82
211.91,187.3,4.62,-1.82
215.21,187.3,4.62,-1.82
218.63,187.29,4.62,-1.82
222.28,187.28,4.62,-1.83
226.08,187.28,4.62,-1.84
230.03,187.28,4.62,-1.84
234.02,187.28,4.62,-1.84
237.99,187.29,4.62,-1.84
241.83,187.3,4.63,-1.84
245.53,187.32,4.64,-1.84
249.08,187.34,4.66,-1.84
252.47,187.36,4.68,-1.84
255.76,187.38,4.7,-1.84
258.99,187.4,4.72,-1.84
262.11,187.38,4.74,-1.84
265.16,187.31,4.74,-1.86
271.05,187.17,4.74,-1.93
